12992,THTR,200,1,Introduction to Theater,3,AS,25,-2,1230,1345,NICELY,409,false,true,false,true,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Nazha,Harb
12994,THTR,210,1,Theater History,3,AS,20,2,1230,1345,NICELY,409,false,false,true,false,true,false,.,.,.,.,.,.,.,.,.,.,.,.,Joanna,Raad
12995,THTR,218C,1,ST:Mod.&Contem.British Irish,3,AS,3,9,1530,1759,NICELY,321,false,false,false,true,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Robert,Myers
12996,THTR,220,1,Voice & Acting in the Theater,3,AS,12,0,1530,1645,NICELY,409,false,true,false,true,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Lucien,Bou Rjeily
12997,THTR,240,1,Design in Theater,3,AS,9,3,1700,1815,NICELY,409,false,true,false,true,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Ghida,Hachicho
12998,THTR,260A,1,ST: Theater and Society,3,AS,12,0,1400,1515,NICELY,409,false,true,false,true,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Nazha,Harb
12999,THTR,282B,1,Body  Space &the interplay,3,AS,14,2,1730,1920,NICELY,409,false,false,true,false,true,false,.,.,.,.,.,.,.,.,.,.,.,.,Ghida,Hachicho
13264,TLPG,401V,1,Undergraduate Research,3,EA,5,-5,2200,2300,.,.,true,false,false,false,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Daniel,Asmar
13353,TLPG,401V,2,Undergraduate Research,3,EA,0,0,.,.,.,.,false,false,false,false,false,false,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF
13128,TLPG,401X,0,Technical Entrepreneurship,3,EA,15,-15,1730,2030,BECHTA,212,false,false,false,true,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Fadl,Bdeir
13105,TLPG,501,1,Capstone project part I,3,EA,14,-14,.,.,.,.,false,false,false,false,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Daniel,Asmar
13118,TLPG,501,2,Capstone project part I,1,EA,8,-8,.,.,.,.,false,false,false,false,false,false,.,.,.,.,.,.,.,.,.,.,.,.,Daniel,Asmar
13290,TLPG,501,3,Capstone project part I,6,EA,0,0,0800,0850,.,.,false,false,false,false,false,true,.,.,.,.,.,.,.,.,.,.,.,.,Daniel,Asmar
13148,TLPG,601,1,Special Projects,3,EA,1,-1,1800,1900,.,.,false,false,false,false,true,false,.,.,.,.,.,.,.,.,.,.,.,.,Daniel,Asmar
